,yyyyq,r,logDP,logDY,logEP,logDE,svar,b/m,ntis,tbl,lty,ltr,tms,dfy,dfr,lagINFL
460,19861,0.11516799530049025,-3.394106632453341,-3.2712458461104537,-2.8005180449351137,-0.593588587518227,0.004383183,0.519627628,-0.016419622,0.0656,0.0766,0.197315709,0.010999999999999996,0.015,-0.08962832600000001,0.00923361
461,19862,0.03843887877552353,-3.432951223996427,-3.384180992653371,-2.836287751061474,-0.5966634729349531,0.005425395,0.499281457,-0.012293237,0.0621,0.079,-0.000357285,0.0169,0.0121,0.007007833,-0.004574565
462,19863,-0.09066448237575922,-3.336016018601039,-3.4170292709858416,-2.7458021680413087,-0.5902138505597301,0.007883792,0.534629267,-0.00513866,0.0521,0.0827,-0.013366974,0.030599999999999995,0.013099999999999987,0.032302412,0.006433824
463,19864,0.03626486400496612,-3.375796990475242,-3.329959064892849,-2.81687157191484,-0.5589254185604021,0.003983793,0.498430866,-0.011375999,0.0553,0.0789,0.054470161,0.023599999999999996,0.014799999999999994,0.0003691009999999967,0.006392694
464,19871,0.18077701424043985,-3.5546626605030203,-3.3685767425017548,-2.961031133052797,-0.5936315274502232,0.005861569,0.428040214,-0.00221743,0.0559,0.0795,0.013508478,0.023600000000000003,0.012500000000000011,0.005077332,0.002722323
465,19872,0.0351936192508911,-3.5746113605649974,-3.5333095360324513,-3.048411569549419,-0.5261997910155787,0.007753561,0.407892397,0.005202462,0.0567,0.0877,-0.048064923,0.031,0.011999999999999997,0.007571309000000005,0.014479638
466,19873,0.05094077051122519,-3.6153087332446687,-3.558312978831878,-3.0102232396123108,-0.605085493632358,0.005129119,0.379966722,0.006350332,0.064,0.0992,-0.069651468,0.035199999999999995,0.011300000000000004,0.008955631999999991,0.012488849
467,19874,-0.2712635623163369,-3.33382473087961,-3.5981360158709244,-2.64751128989823,-0.6863134409813801,0.084582781,0.508812016,0.013274756,0.0577,0.092,0.083823313,0.0343,0.011800000000000005,0.002563713000000009,0.013215859
468,19881,0.04097274252728216,-3.3647497287730466,-3.3180586385409345,-2.633779459326458,-0.7309702694465887,0.012784053,0.507529954,0.00608003,0.057,0.0901,0.039231428,0.0331,0.011800000000000005,0.006937219000000001,0.003478261
469,19882,0.050693594086717114,-3.388842573347275,-3.33394421254505,-2.535372806313768,-0.853469767033507,0.008376642,0.471118872,-0.005397921,0.0646,0.0917,0.009805046,0.0271,0.011400000000000007,0.0068023630000000005,0.009532062
470,19883,-0.009793936024073635,-3.358398746125625,-3.364229238798249,-2.48178549132496,-0.8766132548006649,0.004493678,0.477540454,-0.010001514,0.0724,0.0917,0.022811598,0.019299999999999998,0.010800000000000004,0.003840688000000002,0.012875537
471,19884,0.014438777490380254,-3.349346126875317,-3.3282038441796566,-2.4590308814044226,-0.8903152454708944,0.00360765,0.465283574,-0.021405747,0.0807,0.0918,0.02171288,0.011100000000000013,0.010800000000000004,-0.007835489000000001,0.015254237
472,19891,0.049297555034269774,-3.382850092809301,-3.3229289234477264,-2.469260037745421,-0.9135900550638805,0.003427104,0.468691414,-0.023102134,0.0882,0.0929,0.014261477,0.004699999999999996,0.0087,-0.000777004999999999,0.005843072
473,19892,0.0650164998005483,-3.4232643481106444,-3.347810441636729,-2.5343511571837896,-0.8889131909268545,0.00345817,0.440562937,-0.023948071,0.0815,0.0821,0.114752658,0.0006000000000000033,0.009300000000000003,-0.012875101,0.014937759
474,19893,0.08006236631078444,-3.482085355537407,-3.388572213965926,-2.69044861112135,-0.791636744416057,0.002949468,0.39920975,-0.025747099,0.0775,0.0847,-0.000821581,0.007199999999999998,0.008999999999999994,0.00603628,0.014717907
475,19894,-0.0014168228938449753,-3.4647177455761864,-3.4526188149826345,-2.7377745518509062,-0.7269431937252803,0.007404142,0.390454744,-0.012333537,0.0763,0.0816,0.045368023,0.005299999999999999,0.009599999999999997,-0.009953946999999998,0.007252216
476,19901,-0.049715544304592435,-3.4023747527288735,-3.441206181165264,-2.752840315900938,-0.6495344368279357,0.004932871,0.471333956,-0.01029144,0.079,0.0889,-0.040952707,0.009900000000000006,0.00839999999999999,0.019597932,0.0088
477,19902,0.04247957539896445,-3.4241674130531328,-3.3723476937402928,-2.8237614778482434,-0.600405935204889,0.00367905,0.442949432,-0.000507275,0.0773,0.0864,0.043932319,0.00910000000000001,0.009599999999999997,-0.0032645129999999967,0.020618557
478,19903,-0.16941083934782525,-3.252771743042577,-3.4096121065075433,-2.6445946056040155,-0.6081771374385612,0.009111018,0.520289666,0.001372877,0.0736,0.0914,-0.020318616,0.017799999999999996,0.01079999999999999,0.009945166000000002,0.009324009
